A00,"Cholera"
A68,"Relapsing fevers"
A69,"Other spirochetal infections"
A692,"Lyme disease"
A698,"Other specified spirochetal infections"
A699,"Spirochetal infection, unspecified"
A70,"Chlamydia psittaci infections"
A71,"Trachoma"
A74,"Other diseases caused by chlamydiae"
A748,"Other chlamydial diseases"
A749,"Chlamydial infection, unspecified"
A75,"Typhus fever"
A77,"Spotted fever [tick-borne rickettsioses]"
A774,"Ehrlichiosis"
A778,"Other spotted fevers"
A779,"Spotted fever, unspecified"
A78,"Q fever"
A79,"Other rickettsioses"
A798,"Other specified rickettsioses"
A799,"Rickettsiosis, unspecified"
A80,"Acute poliomyelitis"
A803,"Acute paralytic poliomyelitis, other and unspecified"
A804,"Acute nonparalytic poliomyelitis"
A809,"Acute poliomyelitis, unspecified"
A81,"Atypical virus infections of central nervous system"
A810,"Creutzfeldt-Jakob disease"
A811,"Subacute sclerosing panencephalitis"
A812,"Progressive multifocal leukoencephalopathy"
A818,"Other atypical virus infections of central nervous system"
A819,"Atypical virus infection of central nervous system, unspecified"
A82,"Rabies"
A83,"Mosquito-borne viral encephalitis"
A84,"Tick-borne viral encephalitis"
A85,"Other viral encephalitis, not elsewhere classified"
A86,"Unspecified viral encephalitis"
A87,"Viral meningitis"
A88,"Other viral infections of central nervous system, not elsewhere classified"
A89,"Unspecified viral infection of central nervous system"
A90,"Dengue fever [classical dengue]"
A91,"Dengue hemorrhagic fever"
A92,"Other mosquito-borne viral fevers"
A923,"West Nile virus infection"
A924,"Rift Valley fever"
A925,"Zika virus disease"
A928,"Other specified mosquito-borne viral fevers"
A929,"Mosquito-borne viral fever, unspecified"
A93,"Other arthropod-borne viral fevers, not elsewhere classified"
A94,"Unspecified arthropod-borne viral fever"
A95,"Yellow fever"
A96,"Arenaviral hemorrhagic fever"
A98,"Other viral hemorrhagic fevers, not elsewhere classified"
A99,"Unspecified viral hemorrhagic fever"
B00,"Herpesviral [herpes simplex] infections"
B005,"Herpesviral ocular disease"
B007,"Disseminated herpesviral disease"
B008,"Other forms of herpesviral infections"
B009,"Herpesviral infection, unspecified"
B01,"Varicella [chickenpox]"
B011,"Varicella encephalitis, myelitis and encephalomyelitis"
B012,"Varicella pneumonia"
B018,"Varicella with other complications"
B019,"Varicella without complication"
B02,"Zoster [herpes zoster]"
B022,"Zoster with other nervous system involvement"
B023,"Zoster ocular disease"
B027,"Disseminated zoster"
B028,"Zoster with other complications"
B029,"Zoster without complications"
B03,"Smallpox"
B04,"Monkeypox"
B05,"Measles"
B058,"Measles with other complications"
B059,"Measles without complication"
B06,"Rubella [German measles]"
B060,"Rubella with neurological complications"
B068,"Rubella with other complications"
B069,"Rubella without complication"
B07,"Viral warts"
B08,"Other viral infections characterized by skin and mucous membrane lesions, not elsewhere classified"
B080,"Other orthopoxvirus infections"
B0801,"Cowpox and vaccinia not from vaccine"
B0802,"Orf virus disease"
B0803,"Pseudocowpox [milker's node]"
B0804,"Paravaccinia, unspecified"
B0809,"Other orthopoxvirus infections"
B081,"Molluscum contagiosum"
